title,setup,punchline,category,rating,score,words
NEW HOUSE RULES,"A woman buys a parrot that was raised in a brothel. The seller warns her, ""He says some truly filthy things."" She takes him home anyway. When her two daughters walk into the living room, the parrot squawks, ""New brothel, new hookers!"" The woman is horrified. A few minutes later, her husband comes home from work.","The parrot looks at him and says, ""Hey, Dave!""",marriage,adulte,,65
THE LONG WAY HOME,"A man cannot stand his wife\'s cat, so he drives it twenty miles away and abandons it. When he gets home, the cat is waiting on the porch. He tries again at forty miles. The cat comes back. Furious, he drives ten miles north, twenty south, fifteen west, forty east, and leaves the cat in the middle of nowhere. An hour later, he calls his wife. ""Honey, is the cat home?"" ""Yes. He just walked in.""","""Put that asshole on the phone. I\'m lost.""",marriage,tout_public,,84
HOME IMPROVEMENT,"A husband notices a leaking faucet and wakes his wife. ""Can you fix it?"" ""Do I look like a plumber? Call one."" Then he points to the overgrown lawn. ""What about the grass?"" ""Do I look like a landscaper? Call one."" That evening, he comes home to a repaired faucet and a perfectly cut lawn. ""Who did all this?"" ""Mike next door. He said he\'d fix everything if I gave him a blowjob or baked him a homemade cake."" ""So you baked him a cake?""","""Do I look like a pastry chef?""",marriage,tout_public,,92
A CHILD\'S EXPLANATION,"A little girl asks her mother, ""Last night I saw you bouncing on Daddy\'s stomach. What were you doing?"" Her mother improvises. ""Your father has gained weight. I was pressing on his belly to let the air out."" The girl shakes her head. ""That won\'t work, Mom."" ""Why not?""","""Because every time you leave for work, the nanny blows him back up with her mouth.""",misc,tout_public,,65
A QUIET ARRIVAL,"At the maternity ward, a woman gazes at her newborn with tears in her eyes.","""To think that nine months ago, I almost swallowed you\...""",misc,tout_public,,25
PERFORMANCE REVIEW,"A woman tells her husband, ""You really do have sex like a rabbit.""","He sits up, offended. ""How can you judge me after only thirty seconds?""",marriage,tout_public,,26
THE WRONG APARTMENT,"A man who is completely drunk meets a stranger on the sidewalk. ""Come upstairs for a drink. My apartment is unbelievable."" They enter the bedroom and find a woman in bed with another man. The drunk points to the woman. ""That\'s my wife.""","Then he points to the man beside her. ""And that\'s me.""",bar,adulte,,54
THE BIRTHDAY TRIBUTE,"For her husband\'s birthday, a woman wants a classic cartoon pinup tattooed across her butt because he loves vintage animation. The tattoo artist says there is not enough time for a full portrait, so they agree on one large letter B on each butt cheek. That evening, she bends over to reveal the surprise.","Her husband stares for a moment and asks, ""Who\'s Bob?""",marriage,tout_public,,64
A FAMILY LESSON,"Little Mark asks his father, ""Dad, what\'s between Mom\'s legs?"" ""That is the gate to paradise, son."" ""And what\'s between your legs?"" ""That is the key that opens the gate to paradise.""","Mark thinks for a moment. ""Then you should change the lock. The neighbor has a spare key.""",kids,tout_public,,49
THE LAST NIGHT,"A man is on his deathbed. His wife leans close and whispers, ""Honey, since this is your last night, let\'s make love one final time."" They do. An hour later, she wants to do it again. Then again in the middle of the night. At four in the morning, she wakes him for one more round. Exhausted, the dying man protests, ""Come on! I\'m the one who has to die tomorrow!""","She rolls over and says, ""Exactly. I still have to get up in the morning.""",marriage,tout_public,,86
SIXTY-SEVEN YEARS LATER,"A ninety-year-old couple asks a judge for a divorce after sixty-seven years of marriage. The judge is stunned. ""Why did you wait this long?""","""We didn\'t want to traumatize the children, so we waited until they were dead.""",marriage,tout_public,,38
THE FINAL TOTAL,"An elderly couple is completely broke. The husband finally says, ""There\'s only one thing left to try. You\'ll have to work the street tonight."" The next morning, his wife comes home with \$102.50. ""A hundred and two dollars and fifty cents? Who gave you fifty cents?""","""All of them.""",marriage,tout_public,,49
THE WEATHER REPORT,"While traveling in Africa, a married woman sleeps with an enormous man named Snow. Lying beneath him, she suddenly starts laughing. ""What\'s so funny?"" Snow asks.","""I\'m imagining my husband\'s face when I tell him I spent the whole week under twelve inches of Snow.""",marriage,tout_public,,45
A CONFIDENT APPROACH,"At a bar, a man checks his watch and tells a woman, ""My watch says you aren\'t wearing panties."" ""Your watch is wrong. I am wearing them.""","He checks the time again. ""Sorry. It must be an hour fast.""",bar,tout_public,,39
THE PARK BENCH,"A woman is giving a man oral sex on a park bench. ""Take off your glasses,"" she says. ""They\'re freezing against my skin."" He removes them. A few moments later, she stops.","""Put them back on. You\'re licking the bench.""",misc,tout_public,,40
THE EXACT RATE,"A prostitute explains her prices: ""Two hundred in front, three hundred in back."" Afterward, the customer asks what he owes.","She says, ""Give me a second. I still need to figure out where you were.""",work,tout_public,,35
THE FAMILY FORTUNE,"At a nudist camp, a little boy asks why some men\'s penises are hard and others are not. His father improvises. ""The hard ones are rich. The soft ones are poor."" Later, the father asks where Mom went.","""She met a poor man. He got rich, and now she\'s pumping all his money out of him.""",money,tout_public,,56
IN THE DARK,"A man buys flavored condoms and suggests a game: with the lights off, his wife has to guess the flavor. The room goes dark. She bends down, tastes, and says, ""Blue cheese.""","""Wait---I haven\'t put one on yet.""",marriage,adulte,,38
THE RIGHT NUMBER,"A husband asks his wife, ""Why don\'t you ever tell me when you have an orgasm?""","""Because you told me never to call you at the office.""",marriage,tout_public,,27
A REASSURING ANSWER,"A man comes home falling-down drunk. To his surprise, his wife gently helps him into bed. The next morning, he asks why she wasn\'t furious.","""Because when I tried to undress you, you pushed me away and said, \'Back off, lady. I\'m married.\'""",marriage,tout_public,,43
AN UNEXPECTED INTERRUPTION,"A woman finds her husband naked, sweaty, and gasping for air. Cornered, he claims he is having a heart attack. She runs downstairs to call 911. Their son says, ""Mom, Aunt Jennifer is naked in the closet!""","The wife storms upstairs, opens the closet, and yells, ""My husband is having a heart attack, and you\'re playing hide-and-seek with the kids?""",marriage,adulte,,60
THE BETTER SEARCH,"Two men bump shopping carts at a department store. Both have lost their wives. ""Mine is tall, blonde, blue-eyed, wearing a tiny black dress, and has an incredible chest. What does yours look like?""","""Forget mine. Let\'s find yours.""",misc,tout_public,,39
SOMETHING NICE,"A woman stares into the mirror. ""I\'m old, fat, wrinkled, and covered in cellulite. Please say something nice.""","Her husband says, ""Your eyesight is excellent.""",marriage,tout_public,,25
THE FINAL SECRET,"On his deathbed, a man confesses, ""I cheated on you once."" ""I know, darling."" ""How could you know?""","""Why do you think I poisoned you?""",kids,adulte,,25
THE SENIOR CUSTOMER,"A prostitute welcomes an extremely old man. ""At your age, sir, it\'s usually over."" ""What? I\'m a little deaf."" ""I said, at your age, it\'s over!""","The old man buttons his pants. ""Oh, it\'s over? What do I owe you?""",misc,tout_public,,40
THE CLOSET INSPECTION,"A husband hears a noise in the bedroom closet. He opens the door and finds a completely naked man. ""What are you doing in there?"" ""Hunting moths."" ""Naked?""","The man looks down at himself and gasps. ""Those little bitches ate everything!""",marriage,adulte,,41
THE PROPER TECHNIQUE,"A woman asks her deeply religious husband to let a handsome twenty-five-year-old stand in their bedroom and fan them while they make love. The husband reluctantly agrees. After a few minutes, she complains that she cannot feel any air and suggests the men switch places. The young man takes the husband\'s place while the husband works the fan. The woman immediately starts screaming with pleasure. Her husband looks proudly at the young man.","""See? It isn\'t that hard to use a fan properly.""",marriage,adulte,,83
THE TRAVEL UNIFORM,"A thirty-year-old virgin tells her friend she wants a well-equipped man. Her friend advises her to judge by shoe size. On a train, a conductor with enormous feet enters her car. Fascinated, she pulls him into the restroom and offers to have sex.","As he undresses, the conductor mutters, ""This company is ridiculous. The shirts are two sizes too small and the shoes are four sizes too big.""",work,tout_public,,68
PERFECT INFORMATION,What do you call a woman who always knows exactly where her husband is?,A widow.,marriage,tout_public,,16
VOICE ACTIVATED,"A woman buys a voice-controlled vibrator. Too impatient to wait, she tries it in her car. ""Super vibrator, into my pussy!"" The device obeys. Overcome with pleasure, she begins swerving, and a police officer pulls her over. ""Why are you driving like that?"" ""It isn\'t my fault, officer. It\'s the super vibrator!""","The officer rolls his eyes. ""Super vibrator, my ass!""",work,tout_public,,61
THE HOTEL NOTE,"A fifty-four-year-old man writes his wife that he will spend the evening at a hotel with his eighteen-year-old secretary. He promises to be home before midnight. When he arrives home, he finds a note:","""Dear husband, I am also fifty-four. I will be at a hotel with my eighteen-year-old tennis instructor. With your degree in mathematics, you should understand that eighteen goes into fifty-four many more times than fifty-four goes into eighteen. Do not wait up.""",marriage,tout_public,,76
KEEPING SCORE,"A woman leans out her window and calls for a man. The first volunteer goes upstairs, makes her come twice, and draws two chalk marks on a board. The second man goes up and adds five marks. The third volunteer is much older. A few minutes after he enters, the other men hear the woman scream from the window:","""More chalk! Quick, bring more chalk!""",misc,tout_public,,65
THE ORIGINAL LIFESTYLE,"After thirty-five years of marriage, a man tells his wife, ""Thirty-five years ago, we had a tiny apartment, an old car, a battered couch, and a little television---but I slept with a twenty-five-year-old blonde. Today we have a large house, a luxury car, and a giant television, but I sleep with a sixty-year-old woman.""","His wife smiles. ""Find yourself a twenty-five-year-old blonde. My lawyer will make sure you get the tiny apartment, old car, battered couch, and little television back.""",marriage,tout_public,,80
JUST FOR TONIGHT,"A man and a woman share a sleeping compartment on an overnight train. In the middle of the night, he says, ""I\'m freezing. Would you pass me the blanket from the shelf?"" She says, ""I have a better idea. Let\'s pretend we\'re married, just for tonight."" ""Wonderful idea!""","""Then get up, get your own damn blanket, and stop bothering me.""",marriage,tout_public,,60
THE SAD STORY,"A reporter asks a man in a remote mountain town for an interesting local story. ""A goat got lost in the woods. We found her, and every man in town fucked her."" ""I need something more serious."" ""A woman got lost in the woods. We found her, and every man in town fucked her."" ""No, something sad---something that caused you real pain.""","The man lowers his eyes. ""Not long ago, I got lost in the woods.""",misc,tout_public,,76
FURTHER AHEAD,"A driver picks up a beautiful hitchhiker in a miniskirt. While shifting gears, his hand brushes her thigh. She smiles. ""You can go farther, you know.""",So he drives her all the way to Miami.,misc,tout_public,,35
THE HOUSE SETTLEMENT,"During the divorce, my wife said, ""You can keep the house.""","I was touched until her attorney added, ""She is keeping the mortgage, the equity, and the address.""",marriage,tout_public,,28
THE GROCERY TEXT,"My wife texted, ""Get something sexy for tonight."" I came home with bacon.","We are still married, which proves I understood the assignment.",marriage,tout_public,,23
THE RETURN POLICY,"A man buys an engagement ring and asks the jeweler, ""What if she says no?"" ""You have thirty days to return it."" ""Excellent. What if she says yes?""","The jeweler lowers his voice. ""Then you\'re on your own.""",misc,tout_public,,38
THE PERFECT MATCH,"A woman asks her date, ""Are you looking for a serious relationship?"" ""Absolutely."" ""What makes you ready?""","""My landlord banned overnight guests.""",misc,tout_public,,22
THE SHARED PASSWORD,My wife changed the Wi-Fi password to our anniversary date.,"Now neither of us can get online, and neither of us is brave enough to ask.",marriage,tout_public,,26
RENEWED VOWS,"For our twentieth anniversary, my wife suggested renewing our vows. I said, ""Can we update the terms?""",The ceremony is postponed indefinitely.,marriage,tout_public,,22
PERFECT TIMING,My girlfriend asked whether I knew the difference between a quickie and an anniversary dinner. I said no.,"She said, ""Then happy anniversary.""",marriage,tout_public,,23
NEW DIRECTIONS,"During an argument, the navigation system said, ""Recalculating.""","My wife said, ""Finally, someone in this car admits they were wrong.""",marriage,tout_public,,20
THE MAN OF HER DREAMS,"My wife woke up smiling and said she dreamed about the perfect man. I asked, ""Was I in it?""","""Yes. You were holding his coat.""",marriage,tout_public,,25
SMART HOME SECURITY,"A husband comes home early and asks the smart speaker, ""Is anyone in the bedroom?""","The speaker replies, ""I found three devices, two heart rates, and one husband who should stay downstairs.""",work,adulte,,32
A RESPECTFUL PAUSE,"A golfer stops in the middle of a game, removes his cap, and bows his head as a funeral procession passes. His friend says, ""That was deeply respectful."" The golfer nods. ""It was the least I could do.","We were married for thirty-five years.""",marriage,tout_public,,44
THE OBSERVANT BIRD,"A man buys a parrot with no legs, which holds onto its perch with its beak. One day the bird says, ""Your wife and the mailman went upstairs together for an hour."" ""And then what happened?""","""No idea. You bought the bird with no legs.""",animals,tout_public,,45
SHARED PAIN,"During labor, a couple tests a machine that transfers the mother's pain to the father. The doctor raises it to one hundred percent, but the husband feels nothing.","When they return home, the mailman is dead on the porch.",marriage,tout_public,,39
THE NEXT HUSBAND,"A husband asks whether his wife would remarry if he died. ""Probably,"" she says, ""but not someone like you.","I believe in variety.""",marriage,tout_public,,23
ANCIENT TECHNOLOGY,"A child asks his grandfather whether he knew the dinosaurs. ""Almost.","I knew dial-up internet.""",work,tout_public,,15
A PERSUASIVE SUITOR,"A man asks a woman's parents for permission to marry her. During the conversation, he lights a cigarette. ""You smoke?"" they ask. ""Only when I drink."" ""You drink too?"" ""Only since I got out of prison."" Shocked, they ask why he was there. ""For being very nasty to parents who refused to let me marry their daughter.""","The parents immediately exclaim, ""Congratulations---she's yours!""",kids,tout_public,,63
THE MAGIC SEED,"A little boy asks his mother how he came into the world. She replies, ""It started with a magic seed.","Your father and I smoked it---and while we were high, we completely forgot to use a condom.""",misc,adulte,,37
A BAD HABIT,"A man comes home and catches his wife cheating. He looks at her and says calmly, ""So this is how it starts?","Be careful---you'll end up smoking cigarettes next!""",marriage,adulte,,29
TWO LINES,"A woman waits in a long line outside the bakery every day. A man tells her, ""Come home with me instead. I'll take care of you, but you should know that I already have four wives.""","She replies, ""I'd rather stand in line for a baguette than stand in line for yours!""",misc,tout_public,,52
FIVE TIMES A DAY,"A man visits an old friend in a tiny country town and proudly shows him a pill. ""With this, you can make love five times a day!"" His friend studies it. ""Only five?"" ""Yes. Why?""","""No thanks. I never take medicine that lowers my performance.""",medical,tout_public,,45
A NUMBER GAME,"A passerby hears voices chanting behind the wall of a psychiatric hospital: ""Thirty-three! Thirty-three! Thirty-three!"" Curious, he finds a tiny hole and presses his eye to it. A finger shoots through and pokes him hard.","As he stumbles backward, the chanting changes: ""Thirty-four! Thirty-four! Thirty-four!""",work,tout_public,,45
DEEP TROUBLE,"A scuba diver at fifty feet sees a man beside him with no tank. He descends to seventy feet; the man follows. At one hundred feet, the man is still there. Annoyed, the diver writes on his waterproof slate: ""HOW ARE YOU THIS DEEP WITHOUT EQUIPMENT?""","The man grabs the slate and writes back: ""I'M DROWNING, YOU IDIOT!""",misc,tout_public,,58
DESERT EMERGENCY,"Two friends are crossing the Sahara when a venomous snake bites one of them on the dick. His friend calls poison control. ""Apply pressure,"" says the operator. ""What did she say?"" cries the victim. ""Squeeze it tight."" The operator continues: ""Now someone must suck the venom out of the wound."" ""What did she say?""","His friend slowly hangs up. ""She says you're going to die.""",kids,tout_public,,65
THE LONELY CELL,"A brain cell arrives inside a man's head and finds the place completely empty. ""Wow, it's huge in here. Am I going to do everything alone?""","A distant voice calls, ""Hey, new guy! Come downstairs. That's where everybody is!""",misc,tout_public,,39
A DIFFICULT CHOICE,"""My doctor said if I didn't stop drinking, I wouldn't be able to work---so I quit."" ""Drinking?""","""No. Working.""",medical,tout_public,,19
A FAMILY TRADITION,"A man named Jimmy breaks his arm at work and is taken to the emergency room. The nurse asks his name. ""J-J-J-Jimmy."" She says, ""We can refer you to a speech therapist."" He replies, ""I don\'t stutter. My father did.","The doctor who filled out my birth certificate was an impatient asshole.""",medical,tout_public,,52
THE FOLLOW-UP,"An old woman tells her doctor, ""Doc, I can\'t stop farting. They\'re silent and have no smell, but I\'ve let out twenty in the last five minutes."" The doctor gives her some pills and asks her to return the following week. At the next appointment, she says, ""Doc, I took the pills. The farts are still silent, but now they stink!""","The doctor smiles. ""Great! We\'ve cleared your sinuses. Now let\'s work on your hearing.""",medical,tout_public,,75
FIVE MINUTES LATE,"A man arrives at a doctor\'s office with a knife sticking out of his back. ""Doctor, help me!"" ""Sorry. It\'s 6:05, and I close at six."" ""You can\'t leave me like this!"" The doctor sighs, pulls out the knife, asks the man to turn around, and sticks it into his eye. ""What the hell did you do that for?""","""Go see my colleague across the street. He stays open until seven.""",work,tout_public,,71
EXPERIMENTAL TREATMENT,"At the hospital, a woman appears to be living her final hours. She pulls her husband close. ""Make love to me one last time."" He locks the door and agrees. During sex, color returns to her face. When they finish, she tears out her IV, jumps out of bed, and shouts, ""I\'m cured! Let\'s go home!"" Her husband stays on the bed and begins to cry. ""Why are you crying?""","""To think I could have saved my mother.""",marriage,tout_public,,78
PROPER AFTERCARE,"At a psychiatric hospital, one patient falls into the swimming pool. Another dives in and saves him. The next day, the director congratulates the rescuer. ""Your heroic act proves that you\'re getting better. Unfortunately, the man you saved was found hanging in his room last night.""","The patient says, ""He didn\'t hang himself. I hung him up to dry.""",medical,tout_public,,59
THE FITNESS TEST,"My doctor asked how often I exercise. I said, ""Every day. I run out of patience, jump to conclusions, and carry grudges.""","He wrote, ""Active lifestyle.""",medical,tout_public,,26
THE CURFEW,"At four in the morning, a very drunk man stumbles home after striking out all night. He spots a huge pumpkin in his neighbor\'s yard, cuts a hole in it, and drops his pants. Two police officers suddenly hit him with their headlights. ""Sir, what are you doing to that pumpkin?""","The man looks down in horror. ""A pumpkin? Shit, is it midnight already?""",work,tout_public,,64
THE NEW PIRATE,"A former sailor returns with a wooden leg, a hook, and a glass eye. ""The leg?"" ""Lost it boarding an enemy ship."" ""The hand?"" ""Lost it in a sword fight."" ""And the eye?"" ""A seagull crapped in it."" ""You don\'t lose an eye from that.""","""You do on your first day with a hook.""",tech,tout_public,,54
THE COMPLETE SAMPLE,"A doctor orders urine, stool, and semen samples.","The patient says, ""To save time, Doc, I\'ll just leave you my underwear.""",medical,adulte,,21
THE FIRST TIME,A sixty-nine-year-old man knocks back four double Scotches. The bartender offers him a fifth.,"""No, thanks. I just had my first blowjob and wanted to get the taste out of my mouth. It\'s finally fading.""",bar,tout_public,,35
AN EARLY APPOINTMENT,"A man leaves a 69 in a hurry for a dental appointment. He brushes, chews gum, and uses mouth spray. The moment he opens his mouth, the dentist says, ""You just had a 69."" ""How could you know that?""","""Because your forehead smells like shit.""",medical,tout_public,,45
TWO PHONE CALLS,"At three in the morning, a couple calls the doctor. ""Doctor, our baby just swallowed a condom!"" The doctor dresses and heads for the door. The phone rings again.","""Never mind, Doctor. We found another one.""",work,adulte,,36
THIS MONTH\'S LOSSES,"A prostitute visits her doctor during her period. ""Do you lose much?"" he asks.","""About eight hundred dollars a day.""",money,tout_public,,20
A CALMING ROUTINE,"A man tells his doctor that every day he catches his wife with a different lover. Each time, he resists killing everyone, puts away his gun, makes coffee, and thinks for five minutes. ""You have remarkable self-control,"" says the doctor.","""That\'s not my concern, Doc. Are all those little cups of coffee bad for my health?""",marriage,adulte,,56
THE ESSENTIAL DIFFERENCE,What\'s the difference between an oral thermometer and a rectal thermometer?,The taste.,misc,tout_public,,13
THE WRONG SPECIALIST,"A man has an inflamed left testicle. His doctor means to give him a urologist\'s number but accidentally gives him his attorney\'s. At the appointment, the patient drops his pants. The attorney jumps back. ""Sir, my specialty is the law!""","""This country is ridiculous. Now you need a different specialist for each ball?""",medical,tout_public,,53
PROOF OF AGE,"A man forgets his identification at the Social Security office. The clerk asks him to open his shirt. Seeing his gray chest hair, she approves his retirement claim. That evening, he tells his wife.","""You should have dropped your pants,"" she says. ""You might have qualified for disability too.""",work,tout_public,,49
A HIGHLY SPECIALIZED JOB,"A woman stopped for speeding tells the officer she is a professional asshole stretcher. ""What does that involve?"" ""One finger, then two, then a hand, an arm, sometimes forceps---until the asshole is six feet wide."" ""What do you do with a six-foot asshole?""","""Usually we give him a radar gun and hide him behind an overpass.""",work,tout_public,,56
THE EXACT DIAGNOSIS,"Two elderly friends are talking. One bets a hundred dollars that he can guess the other\'s age by carefully feeling his testicles. After several minutes, he announces, ""You\'re eighty-two."" ""Incredible! How did you know?""","""You told me yesterday.""",money,tout_public,,38
THE MIXED-UP TUBE,"A teacher calls a student\'s home and asks for his mother. ""She\'s in the bathroom."" ""Then put your father on."" ""He\'s in the bathroom too."" ""Will they be long?""","""Probably. They asked me for the petroleum jelly, and I gave them the glue.""",kids,tout_public,,43
A YEARLY COMPARISON,What do a tire and 365 condoms have in common?,One is a Goodyear. The other is a very good year.,misc,adulte,,21
EXPERIMENTAL RECONSTRUCTION,"A jungle explorer falls from a cliff and loses an eye, an arm, and his penis. A village healer gives him a hawk\'s eye, a gorilla\'s arm, and an elephant\'s trunk.","Weeks later, the explorer reports, ""The eye is perfect and the arm is incredibly strong. But every time I stop to piss, the trunk starts eating the grass.""",animals,tout_public,,59
THE ANNUAL EXAM,"During my physical, the doctor said, ""Your body is a temple."" I said, ""Thank you.""","He replied, ""An abandoned one. The city is condemning it.""",medical,tout_public,,25
THE SIDE EFFECT,The label said my medication might cause sudden confidence. I called the pharmacy to tell them the warning was wrong.,"The pharmacist said, ""No, that\'s it starting.""",animals,tout_public,,27
THE EYE CHART,"The optometrist asked me to read the smallest line. I said, ""Payment due at time of service.""","""Perfect vision,"" she said. ""Terrible news.""",misc,tout_public,,23
A SENSITIVE PROCEDURE,"Before the prostate exam, the doctor said, ""Try to relax."" I said, ""Could you at least buy me dinner first?""","He replied, ""With your insurance? This is dinner.""",medical,tout_public,,28
THE HEALTHY CHOICE,"The cardiologist told me red wine can be good for the heart. I asked how much. He said, ""One glass.""",I changed cardiologists. This one clearly lacked ambition.,bar,tout_public,,28
THE NEW HEARING AID,My hearing aid is so advanced I can hear people whisper from across the room.,"Unfortunately, it still cannot make them say anything nice.",misc,tout_public,,24
THE PRESCRIPTION,The pharmacist stared at my doctor\'s handwriting for ten minutes.,"Finally he said, ""I can give you antibiotics, sleeping pills, or a small dog. Any of those could be what he wrote.""",medical,tout_public,,32
THE CAMERA TEST,"Before my colonoscopy, the doctor promised the camera was tiny.","I said, ""Then why does the consent form have a film credit section?""",medical,tout_public,,23
A NATURAL RESULT,"The plastic surgeon asked what result I wanted. I said, ""Natural.""","He looked at my payment history and said, ""Then age gracefully and get out.""",misc,tout_public,,25
A SECOND READING,The nurse said my blood pressure was dangerously high.,I asked her to remove the bill from my hand and check again.,medical,tout_public,,22
A BREAKTHROUGH SESSION,My therapist says I use humor to avoid my feelings. We both laughed.,"Well, I laughed. She adjusted the invoice.",misc,tout_public,,20
THREE VISITS,"A doctor opens a clinic with a sign: ""Treatment: \$20. Not cured? Get \$100 back."" A lawyer smells easy money. ""I\'ve lost my sense of taste."" The doctor gives him three drops. ""That\'s kerosene!"" ""Excellent---your taste is back. Twenty dollars."" The lawyer returns claiming memory loss. The doctor reaches for the same bottle. ""That\'s kerosene!"" ""Your memory is back. Twenty dollars."" On his third visit, the lawyer claims he cannot see. The doctor hands him a twenty-dollar bill. ""This is only twenty, not a hundred!"" The doctor smiles. ""Your eyesight is back.","Twenty dollars.""",money,tout_public,,94
LIGHT EXERCISE,"My friend asked why I was sweating so hard. I said, ""I opened a jar.""",He nodded like I had completed a triathlon.,misc,tout_public,,23
HOUSE RULES,"A patient says, ""Doctor, I think I'm a dog."" The doctor points to the couch. ""Lie down.""","The patient says, ""I'm not allowed on the furniture.""",medical,tout_public,,26
MEMORY LOSS,"A man tells his doctor, ""I'm losing my memory."" The doctor asks, ""Since when?""","The patient says, ""Since when what?""",medical,tout_public,,20
THE COUNTDOWN,"A patient asks, ""Doctor, how long do I have?"" The doctor checks his watch. ""Ten... nine...","eight...""",medical,tout_public,,17
ROUTINE PROCEDURE,"Before surgery, a doctor says, ""Don't worry. This is routine.""","The patient asks, ""For you or for me?""",medical,tout_public,,18
SUPPORTING FITNESS,I'm not against exercise.,I watch other people do it on television.,misc,tout_public,,12
THE SLEEP AID,A man asks a pharmacist for something that will keep him awake at night.,The pharmacist hands him a mortgage application.,animals,tout_public,,21
THE UNUSUAL PET,"A young man finds a talking frog. ""Kiss me and I\'ll become a beautiful princess,"" she says. He puts her in his pocket. ""I\'ll stay with you for a week and do anything you want."" He smiles and puts her back. Finally, the frog asks, ""Why won\'t you kiss me?"" The man shrugs. ""I\'m an engineer.","I don\'t have time for a girlfriend, but a talking frog is amazing.""",work,tout_public,,69
OPENING NIGHT,"An actor who keeps forgetting his lines finally gets a one-line role. The director says, ""Walk on holding a rose, smell it, and say, 'Oh, the scent of my lover.'"" On opening night, the actor enters on cue, raises his empty hand, and delivers the line perfectly. The audience bursts out laughing. Backstage, he asks, ""Did I forget my line?""","The director shouts, ""No---you forgot the rose!""",misc,adulte,,67
ROADSIDE ADVICE,"A driver gets a flat outside a psychiatric hospital and loses the wheel nuts. A patient watching from the wall says, ""Take one nut from each of the other three wheels. That'll hold the spare until you reach a garage."" The driver is amazed. ""That's brilliant. Why are you in there?""","The patient shrugs. ""I'm crazy, not stupid.""",medical,tout_public,,58
